statement,label,mapped
"In the event of a U.S. strike on Syria, the Russians will replace the weapons immediately. Theyve said it on the record. Theyve suggested they might even replace it with better stuff.",barely-true,fake
"To give the proposed economic stimulus plan some perspective, ""if you started the day Jesus Christ was born and spent $1 million every day since then, you still wouldnt have spent $1 trillion.""",true,real
Its warmer on Mars than it is in parts of the United States and Canada during the polar vortex.,barely-true,fake
The health insurance plan that (members of Congress) have is no different than any other federal employees in the United States government.,true,real
He's promising four more years of an administration that will push for the privatization of Social Security...,false,fake
Radio Marti and TV Marti have spent more than $500 million to reach less than 1 percent of the Cuban population.,mostly-true,real
Theres no plan from Senate Democrats or the White House to replace the sequester.,pants-fire,fake
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",half-true,real
About 47 percent of able-bodied people in the state of Maine dont work.,pants-fire,fake
Small businesses create 70 percent of the jobs in America.,true,real
"Gov. Chris Christie caused a 4.1 percent increase in property taxes in 2010, marking the highest increase since 2007.",half-true,real
"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",true,real
Says Lamar Smith sponsored the bill that funded Obamacare.,false,fake
Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies weve implemented.,barely-true,fake
"Romney left Massachusetts ""with a $245-million debt because of the big government-mandated health care system.""",barely-true,fake
Georgia spends fewer tourism advertising dollars than any other state in the South.,true,real
"Ive created over 40,000 jobs.",barely-true,fake
"Lyme disease is one of the fastest growing infectious diseases in the United States, and Rhode Island has the second-highest incidence of this disease in the country.",half-true,real
"Once people become citizens under the DREAM Act and turn 21, they can sponsor their illegal immigrant parents for legalization.",mostly-true,real
"Wisconsin election officials to accept Mickey Mouse, Hitler signatures on recall petitions.",barely-true,fake
The Buffett Rule will bring in less than $5 billion per year. ... Enough to pay one weeks interest on the national debt.,true,real
The state covered a smaller percentage of the cost of K-12 education in 2013 than it did in 2002.,mostly-true,real
"In the 2000 Florida election, at least 1,100 eligible voters were wrongly dropped from voting rolls in an attempt to purge a list of felons. Many of those who were dropped showed up to vote and were told they could not.",true,real
Ive never supported a payroll tax.,false,fake
John Raeses wife is registered to vote in Florida so she cant even vote for him.,true,real
"If I had not asked for my emails all to be made public, none of this would have been in the public arena.",barely-true,fake
Rick Scott vetoed funding for 30 Florida rape crisis centers. Scott said the centers werent needed.,barely-true,fake
"Says Mitt Romneys housing policy is, Dont try and stop the foreclosure process. Let it run its course and hit the bottom.",half-true,real
Less than 1 percent of 1 percent of the American population has given an amount over $200 to a federal political campaign.,barely-true,fake
"Under Obamacare, The IRS will have access to the American peoples protected health care information.",pants-fire,fake
"When Obama went to Pakistan in 1981, he could not have been traveling as a U.S. citizen.",pants-fire,fake
Says the Obama administration invited Russia into Syria.,barely-true,fake
"If we went back to the obesity rates that existed back in the 1980s, the Medicare system over several years could save as much as a trillion dollars.",false,fake
No one was taken into custody for feeding the homeless.,mostly-true,real
Gangs have increased by 40 percent since this president was elected.,half-true,real
Says Gov. Scott Walker has caused Wisconsin to lose more jobs than any other state in the country.,half-true,real
"(U.S. Reps.) Paul Ryan, Sean Duffy and Reid Ribble are shutting down town hall meetings, or making their constituents pay to attend them.",pants-fire,fake
Paul Broun Jr. sides with sexual deviants to support sale of crush videos.,false,fake
"A large number of the uninsured earn $75,000 or more a year.",half-true,real
Ninety-four percent of small businesses will face higher taxes under the Democrats plan.,pants-fire,fake
"The Z-visa that was offered in that Senate bill let everybody who's here illegally, other than criminals, stay here for the rest of their lives.",false,fake
The City of Milwaukee uses the building inspection area as a revenue base.,false,fake
Senator Jeff Plale saved my job -- and some 300 others at Bucyrus International.,barely-true,fake
"Assault weapons and handguns are allowed in the state Capitol while bullhorns, trumpets, helium balloons and flags on poles are banned.",mostly-true,real
"For anybody whos trying to cross the street and has seen those signs that say you have to stop when pedestrians are in the crosswalk, that was a bill that I passed.",mostly-true,real
Road construction bids are coming in at the lowest in the modern era.,barely-true,fake
"For the first time in history, Wisconsin has more government jobs than manufacturing jobs.",mostly-true,real
"The Milwaukee County Boards staff grew from four workers to 38 over four decades and now costs taxpayers a lot more, while the total county workforce was more than cut in half in the same period.",mostly-true,real
Says unemployment would be at 10 percent if people who have quit looking for work were included in federal labor force calculations.,half-true,real
20 percent of the time (smart guns) wont work.,false,fake
"Over $1 trillion was spent on anti-poverty programs in 2011, enough to give every single poor American a check for $22,000.",half-true,real
(George) LeMieux never requested a single earmark and pushed to ban them all.,half-true,real
"While the sequester is in effect, the federal government is still funding a study on duck penises.",mostly-true,real
"As usual, Hillary the Dems are trying to rig the debates so 2 are up against major NFL games.",pants-fire,fake
"Attempts to find things like, crime, criminal activity, indictment, have been filtered out by Google in favor of Hillary Clinton.",barely-true,fake
Emergency rooms account for 2 percent of all health care spending.,mostly-true,real
Says Mitt Romneys carried interest income was a tax trick.,barely-true,fake
"Your tax dollars are not being used to sue you, the people.",false,fake
On residency requirements for public workers,half-true,real
Says President Dwight Eisenhower moved 1.5 million illegal immigrants out of this country.,half-true,real
"200,000 students attempt suicide every year on college campuses.",half-true,real
On receiving campaign contributions from out-of-state donors,false,fake
"Congressman John Lewis, an American hero, made allegations that Sarah Palin and I were somehow associated with ... the worst chapter in American history. ... And, Senator Obama, you didn't repudiate those remarks.",true,real
Said his mother had to fight with health insurance companies for treatment because of a pre-existing condition.,barely-true,fake
''The leading Democratic candidate once said that the unfettered free market is the most destructive force in modern America.'',false,fake
"Says that Mitt Romneys response to the crisis in the auto industry was, Let Detroit go bankrupt.",half-true,real
New energy standards will take away our freedom of choice and selection in the light bulbs we have in our homes.,barely-true,fake
Over 40 percent of children born in America are born out of wedlock.,true,real
Says crime is rising in Manchester and has gone up 19 percent under Mayor Ted Gatsas.,half-true,real
U.S. Sen. Bill Nelson chose to side with President Obama against the Keystone pipeline,half-true,real
"A family of four can make up to $88,000 a year and still get a subsidy for health insurance under the new federal health care law.",true,real
The (Ohio) economy is on the mend. It is in better shape than it was when we took office.,half-true,real
"Without the financial resources provided by hunters to protect habitat and stop poachers, there would be no infrastructure for wildlife management.",false,fake
Stimulus money went to office upgrades for politicians.,barely-true,fake
The Obama administration has put out more of these major rules than the Clinton administration or the Bush administration during comparable times.,true,real
Rhode Island has a very generous unemployment compensation rate compared to most other states.,true,real
Both the Democratic and Republican candidates for president in 2016 are quite unpopular.,true,real
Says hes never asked for more than inflationary budget increases in his 10 budgets as Milwaukee County sheriff,false,fake
"Since Florida passed the stand your ground law in 2005, deaths due to self-defense have jumped over 250 percent.",half-true,real
"In July 2010 the government said small businesses -- 60 percent -- will lose their health care, 45 percent of big business and a large percentage of individual health.",false,fake
The U.S. has over $62 trillion in unfunded liabilities.,barely-true,fake
Says Mitt Romney supports a plan to slowly and gradually raise the retirement age of Social Security.,mostly-true,real
"If we went back to the obesity rates that existed in 1980, that would save the Medicare system a trillion dollars.",false,fake
"Says when Mitt Romney was governor, Massachusetts was 47th in job creation",half-true,real
"Last year, ExxonMobil made $19 billion in profit. Guess what. They paid zero in taxes. They got a $156 million refund from the IRS.",false,fake
"(Dennis) Richardson wants to make drastic cuts to services we depend on: schools, home care for seniors, even public safety -- all so Richardson can keep more than $440 million in unspent funds for his political priorities.",false,fake
Slavery is still allowable under Wisconsin law as long as its a punishment for a crime.,mostly-true,real
Says Debbie Wasserman Schultz has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups.,mostly-true,real
"If you tried to pay out $1 trillion by handing it out at $1 per second, it would take more than 31,000 years.",true,real
"Tampa got more (federal housing) money because they scored higher on the blight scoring system, so theyve got a much bigger problem than we do.",barely-true,fake
The Koch Brothers are spending more money than either the Democratic or Republican parties in the 2016 elections.,false,fake
The Republican election platform was actually written with the help of a former lobbyist for AIG and a former lobbyist for Exxon-Mobil.,half-true,real
"Scientists have shown us (that) the greater possibilities, the real science movement, has been with adult stem cell research. It has not been with embryonic.",false,fake
"The Dodd-Frank financial-reform laws hundreds of new rules will force small banks and credit unions to burn up an estimated 2,260,631 labor hours just for compliance.",barely-true,fake
"Credit agency says Rep. Gibbs recklessly caused downgrade, higher interest rates.",false,fake
Says its not accidental that the villain in the Batman movie is named Bane.,pants-fire,fake
"Every day, oil continues to pour into the Gulf of Mexico. ... Even with disaster on our coast..., Richard Burr voted to let big oil off the hook.",half-true,real
Says Gov. Scott Walker hasnt done a public event this entire year.,pants-fire,fake
Fox changed around their poll eligibility criteria on the day they announced who is in and out of their debate.,half-true,real
If you are a federally licensed gun dealer and your license is revoked because youve engaged in misconduct ... your entire inventory under prevailing law is deemed your personal collection. You then can sell it free from any background checks.,true,real
"Our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy.",true,real
Democrats give Newports to the homeless to get them to the polls.,half-true,real
"Barack Obama has ""pledged to reduce the size of the military.""",false,fake
Says Marco Rubio opposes abortioneven in the case of rape and incest.,mostly-true,real
Every year the First Coast Guard District saves 350 lives in the Northeast.,mostly-true,real
Says Eric Cantor was the co-author of the House GOP principles on immigration reform. Both the New York Times and the Washington Postsaid that thatcaptured the essence of what was in the Senate immigration bill.,half-true,real
Says Ellen Rosenblum has said over and over again that this is a job where 80 percent of the job is being the governments lawyer.,half-true,real
Says he often appeared on The OReilly Factorand often was praised byBillOReilly.,half-true,real
I don't do earmarks. I've never done one. I'm not going to do one.,true,real
China is in the South China Sea and (building)a military fortress the likes of which perhaps the world has not seen.,half-true,real
Six of Georgias counties have no lawyers at all.,true,real
"Since 2010, eight children in Georgia have died due to vehicular heatstroke.",true,real
"Says a 9-year-old girl was recently raped in Austin, Texas, by a guy previously caught four times and released.",half-true,real
Secure Communities has a proven track record of enhancing public safety by focusing on violent offenders and those that pose a threat to our communities and our national security.,half-true,real
"The top 10 most well-paid CEOs in America received a combined $770 million in 2010, while the average American workers wage rose just 2 percent.",true,real
Was Martha Kanter dispatched to Corvallis with $17 million in stimulus money to save Craig Robinsons job?,pants-fire,fake
About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.,mostly-true,real
"Romneycare sent costs spiraling out of control in Massachusetts, hiking premiums, squeezing household budgets.",false,fake
Were not engaged in nation-building in Afghanistan.,half-true,real
Says the Security Against Foreign Enemies Act of 2015 would not pause the resettlement of Syrian refugees in the United States.,half-true,real
"Do you know that, statistically, when you take the SAT a second time, one third of the people that take the SAT, even if theyve been studying, will get a lower score than they did the first time around?",true,real
Says the states new collective bargaining law effectively eliminates police unions ability to negotiate.,mostly-true,real
"The Alternative Minimum Tax...was created by Congress in 1969 to affect 155 wealthy Americans. Because it was never indexed for inflation, those original 155 taxpayers has increased to affect about 3.5-million in 2006.",true,real
We have less Americans working now than in the 70s.,barely-true,fake
"Since 2013 alone, the Obama administration has allowed 300,000 criminal aliens to return back into United States communities. These are individuals encountered or identified by (Immigration and Customs Enforcement), but who were not detained or processed for deportation because it wouldnt have been politically correct.",half-true,real
"Because of Obamacare, over the last two years, health care premiums have gone up -- its true -- but theyve gone up slower than any time in the last 50 years.",false,fake
"Has created 60,000 net new jobs since taking office.",mostly-true,real
Ted Cruz defended a Chinese company that stole an invention from an American inventor.,mostly-true,real
Says Ted Cruz wanted to let in more Syrian refugees and give amnesty to illegal immigrants.,half-true,real
A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents.,pants-fire,fake
"Says the United States is the only nation that affords citizenship to anyone born here, whether you are here legally or illegally.",false,fake
St. Pete Beachs local version of Amendment 4 resulted in seemingly endless lawsuits (that) decimated the citys legal budget and forced the city to raise the property tax rate.,half-true,real
"Arkansas Democratic congressional candidate Chad Causey was a Washington, D.C. bureaucrat.",false,fake
Hurricane Irene was the second-largest storm to hit North America in terms of power outages -- and the first hurricane to make landfall in New Jersey since 1904.,mostly-true,real
"By the time I left the State Department, economic growth was up and opium production was down in Afghanistan, while infant mortality declined and school enrollment rose by more than sevenfold.",mostly-true,real
John McCain has changed position on invading Iraq.,barely-true,fake
On using embryonic stem cells for medical research.,half-true,real
Nevada lawmakers permanently cut taxes for over 95 percent of Nevadas businesses.,false,fake
"In her nearly decade and (a) half in Congress, Tammy Baldwin has sponsored 105 bills. Only three have been enacted into law.",mostly-true,real
Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,true,real
"The Taliban has been there for years and years, I mean, hundreds of thousands of years.",pants-fire,fake
Says the case of a Texas judge who refused to perform heterosexual weddings exposes a double standard in the case against Kentucky clerk Kim Davis.,false,fake
We lost more jobs in this great recession than the last four recessions combined.,true,real
The Federal Reserve system has presided over about a 95... percent decline in the U.S. dollar.,barely-true,fake
What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,pants-fire,fake
"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",true,real
"Despite what you may have heard about Wisconsins finances, Wisconsin is on track to have a budget surplus this year.",false,fake
"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida.""",true,real
"While others place their hands over their hearts, Obama turns his back to the flag and slouches.",false,fake
Says Donald Trumps tax plan gives the wealthy and corporations more than the Bush tax cuts by at least a factor of two.,true,real
Congress secured special Obamacare rules to prevent their healthcare costs from rising.,half-true,real
The policy of the Bush administration was also not to add new nuclear capabilities.,half-true,real
The citys 30 percent set aside for affordable housing in urban renewal areas is calculated citywide -- not district by district,false,fake
Crime is down in Arizona.,true,real
"Under Barack Obama, the U.S. now has the lowest workforce since (President Jimmy) Carter.",barely-true,fake
"After filing a lawsuit in Rhode Island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period.",true,real
The Social Security trust fund is already facing imminent bankruptcy.,barely-true,fake
States with the most gun laws tend to have the fewest gun deaths.,mostly-true,real
The only years that anybodys ever seen of Donald Trumps tax returns showed he didnt pay any federal income tax.,barely-true,fake
"Said the Washington Post argued that a failure to pass the START treaty this year would be no calamity, and that the Associated Press saidthe administration concedes the security risk is not immediate.",half-true,real
Scott Walkers income tax plan is a tax hike. It increases taxes for nearly 80% of the people in the state.,pants-fire,fake
"Says Catherine Cortez Masto indicted (Brian Krolicki), who was an innocent man, in order to save Harry Reids political career",half-true,real
The state government workforce grew when Tim Kaine was governor.,barely-true,fake
I deployed the Texas National Guard to the Texas-Mexico border. And the policy worked; apprehensions at the border declined 74 percent.,barely-true,fake
"Wrote that in 2006, Nancy Pelosi said she didnt think capturing Osama bin Laden makes us any safer, but in 2011 called his killing historic.",half-true,real
"Dollar General added 2,500 stores and 20,000 jobs during his four-year tenure as CEO.",mostly-true,real
"The ""pay-as-you-go law ... was a big reason why we had record surpluses in the 1990s.""",half-true,real
New business startups are at the lowest levels in 30 years.,true,real
"The University of Florida announced this past week that it was dropping its computer science department ... Meanwhile, the athletic budget for the current year is $97.7 million, an increase of more than $2 million from last year.",half-true,real
"The Northwest Corridor highway project in Cobb and Cherokee counties is expected to create over 9,700 jobs statewide.",false,fake
A National Football League lockout would cost Atlanta $160 million in lost jobs and revenue.,false,fake
I haven't missed a vote since 1993.,true,real
"This year, the federal government will have more revenue than any year in the history of our country.",half-true,real
Nine out of the 10 poorest states are Red states.,mostly-true,real
"Says EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations.",false,fake
"In the U.S. Constitution, theres a little section in there that talks about life, liberty and the pursuit of happiness.",false,fake
Says Mark Hass raised your taxes by $1 billion in a single day.,half-true,real
Sharron Angle wants to wipe out Social Security.,half-true,real
"Last month, more Americans stopped looking for a job than found one.",half-true,real
"Says in the 2012 State of the Union address, President Obama didnt even mention the deficit or debt.",pants-fire,fake
"By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests.",mostly-true,real
Were the worst state in the country at moving people from welfare to work.,false,fake
Says an EPA permit languished under Strickland but his new EPA director got it done in two days.,barely-true,fake
Bill Richardson is the only major Democratic candidate with a plan to withdraw all American troops from Iraq. All of the other major Democratic candidates support leaving American troops in Iraq indefinitely.,mostly-true,real
At least a quarter of those apprehended at the border have criminal records.,false,fake
"Between June 30 and July 10, CNN interviewed 17 Israeli public officials versus onePalestinian official.",half-true,real
Del. Ben Chafin took money away from Southwest Virginia schools while votingto build a politicians palace.,false,fake
Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,barely-true,fake
"Says that, unlike the U.S. Senate, even the Libyan government, in the middle of a civil war, passed a budget on June 15, 2011",half-true,real
"Just like the U.S. Chamber of Commerce, the AFL-CIO receives dues from foreign entities associated with it.",half-true,real
The New York Times had to retract its story that Hillary Clintons email handling had broken certain laws.,false,fake
Most of the people who have signed up through the Obamacare exchanges already had insurance.,barely-true,fake
"In the past four years, (the U.S. Senate) has only passed nine out of 48 appropriation bills.",mostly-true,real
Says Bill Nelson voted to cut $700 billion out of Medicare to pay for Obamacare.,barely-true,fake
"Since President Obama took office, over 88,000 Ohio workers have lost their jobs.",half-true,real
(GM and Chrysler) repaid their loans.,half-true,real
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",mostly-true,real
53 percent of Americans cut back on their health care in the last year because of costs.,half-true,real
Newt Gingrichs presidential campaign has exactly the same challenges as Ronald Reagans successful 1980 bid.,barely-true,fake
Says my plan is a property tax cut.,half-true,real
